iter	Passed	Remaining
1003	10499	10416
1004	10510	10405
1005	10520	10394
1006	10529	10382
1007	10539	10372
1008	10551	10363
1009	10563	10354
1010	10575	10345
1011	10586	10335
1012	10597	10325
1013	10607	10314
1014	10618	10304
1015	10628	10294
1016	10638	10283
1017	10649	10273
1018	10660	10262
1019	10670	10252
1020	10681	10241
1021	10691	10231
1022	10702	10220
1023	10712	10210
1024	10723	10200
1025	10733	10189
1026	10743	10178
1027	10753	10167
1028	10763	10156
1029	10773	10146
1030	10784	10136
1031	10795	10125
1032	10805	10115
1033	10815	10104
1034	10825	10093
1035	10836	10083
1036	10846	10072
1037	10856	10061
1038	10867	10051
1039	10877	10040
1040	10887	10029
1041	10897	10019
1042	10907	10008
1043	10918	9997
1044	10929	9988
1045	10940	9978
1046	10950	9967
1047	10960	9956
1048	10970	9945
1049	10981	9935
1050	10993	9926
1051	11006	9917
1052	11018	9909
1053	11030	9900
1054	11041	9890
1055	11052	9880
1056	11063	9870
1057	11078	9864
1058	11089	9853
1059	11099	9843
1060	11110	9832
1061	11121	9823
1062	11132	9813
1063	11143	9802
1064	11154	9792
1065	11164	9782
1066	11175	9771
1067	11186	9761
1068	11195	9750
1069	11206	9740
1070	11216	9729
1071	11227	9718
1072	11248	9717
1073	11258	9706
1074	11268	9696
1075	11279	9685
1076	11290	9675
1077	11300	9665
1078	11310	9654
1079	11321	9644
1080	11331	9633
1081	11342	9623
1082	11352	9612
1083	11363	9602
1084	11373	9591
1085	11387	9584
1086	11397	9573
1087	11407	9562
1088	11418	9552
1089	11428	9541
1090	11438	9530
1091	11448	9519
1092	11459	9509
1093	11468	9498
1094	11479	9487
1095	11490	9477
1096	11501	9467
1097	11511	9456
1098	11522	9446
1099	11534	9437
1100	11544	9426
1101	11554	9415
1102	11564	9404
1103	11574	9393
1104	11583	9382
1105	11593	9371
1106	11602	9359
1107	11613	9349
1108	11622	9338
1109	11633	9327
1110	11644	9317
1111	11654	9306
1112	11663	9295
1113	11673	9284
1114	11683	9273
1115	11693	9262
1116	11703	9252
1117	11714	9241
1118	11723	9230
1119	11734	9219
